"lien";"titre";"date";"doc";"ministre"
"https://www.ecologie.gouv.fr//lancement-dun-futur-service-dautoroute-ferroviaire-entre-sete-et-calais";"Lancement d’un futur service d’autoroute ferroviaire entre Sète et Calais";"2021-12-24";"doc24";"Barbara Pompili"
"https://www.ecologie.gouv.fr//mise-en-place-dune-obligation-test-deplacements-vers-outre-mer";"Mise en place d’une obligation de test pour les déplacements vers les Outre-mer";"2021-12-24";"doc25";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-berangere-abba-mardi-21-decembre-2021-en-indre-et-loire-37";"Déplacement de Bérangère Abba le mardi 21 décembre 2021 en Indre-et-Loire (37)";"2021-12-23";"doc26";"Barbara Pompili"
"https://www.ecologie.gouv.fr//transition-ecologique-qui-change-au-1er-janvier-2022";"Transition écologique : ce qui change au 1er janvier 2022";"2022-01-01";"doc27";"Barbara Pompili"
"https://www.ecologie.gouv.fr//eco-energie-tertiaire-entre-dans-mise-en-oeuvre-operationnelle-des-debut-lannee-2022";"Eco Energie Tertiaire entre dans sa mise en œuvre opérationnelle dès le début de l’année 2022";"2021-12-23";"doc28";"Barbara Pompili"
"https://www.ecologie.gouv.fr//mise-en-place-du-titre-mobilite";"Mise en place du titre-mobilité";"2021-12-23";"doc29";"Barbara Pompili"
"https://www.ecologie.gouv.fr//electrification-ligne-paris-troyes-letat-collectivites-et-sncf-reseau-saccordent-sur-methode";"Electrification de la ligne Paris-Troyes : l'Etat, les collectivités et SNCF Réseau s'accordent sur une méthode pour accélérer l'opération";"2021-12-21";"doc30";"Barbara Pompili"
"https://www.ecologie.gouv.fr//etude-lanses-sur-troubles-dans-deux-elevages-bovins-lien-eoliennes-est-hautement-improbable";"Etude de l’Anses sur les troubles dans deux élevages bovins : le lien avec les éoliennes est hautement improbable";"2021-12-21";"doc31";"Barbara Pompili"
"https://www.ecologie.gouv.fr//creation-du-registre-disponibilite-des-taxis";"Création du registre de disponibilité des taxis";"2021-12-21";"doc32";"Barbara Pompili"
"https://www.ecologie.gouv.fr//letat-met-en-consultation-du-public-textes-revisant-dispositif-des-zones-non-traitement-znt";"L'Etat met en consultation du public les textes révisant le dispositif des Zones de Non Traitement (ZNT)";"2021-12-21";"doc33";"Barbara Pompili"
"https://www.ecologie.gouv.fr//bison-fute-previsions-nationales-circulation-du-jeudi-23-au-dimanche-26-decembre-2021";"Bison futé - Prévisions nationales de circulation du jeudi 23 au dimanche 26 décembre 2021";"2021-12-21";"doc34";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-berangere-abba-en-indre-et-loire-mardi-21-decembre-2021";"Déplacement de Bérangère Abba en Indre-et-Loire ce mardi 21 décembre 2021";"2021-12-21";"doc35";"Barbara Pompili"
"https://www.ecologie.gouv.fr//jean-baptiste-djebbari-reunit-industriels-aeronautiques-francais-point-detape-sur-lexecution-du-plan";"Jean-Baptiste Djebbari réunit les industriels aéronautiques français pour un point d’étape sur l’exécution du Plan de relance et sur la préparation du volet aéronautique du Plan France 2030";"2021-12-20";"doc36";"Barbara Pompili"
"https://www.ecologie.gouv.fr//ministere-des-solidarites-et-sante-et-transition-ecologique-annoncent-nomination-dun-laboratoire";"Les ministère des Solidarités et de la Santé et de la Transition écologique annoncent la nomination d'un laboratoire national de référence pour harmoniser le système de surveillance du SARS-CoV-2 dans les eaux usées et les boues de station d'épuration";"2021-12-17";"doc37";"Barbara Pompili"
"https://www.ecologie.gouv.fr//barbara-pompili-demande-edf-prendre-des-mesures-renforcer-securite-dapprovisionnement-electrique-et";"Barbara Pompili demande à EDF de prendre des mesures pour renforcer la sécurité d'approvisionnement électrique et de réaliser un audit sur la disponblité du parc nucléaire français";"2021-12-17";"doc38";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-en-seine-et-marne-77-lundi-20-decembre-2021";"Déplacement de Jean-Baptiste Djebbari en Seine-et-Marne (77) le lundi 20 décembre 2021";"2021-12-17";"doc39";"Barbara Pompili"
"https://www.ecologie.gouv.fr//jean-baptiste-djebbari-annonce-15-premiers-projets-laureats-du-programme-propulse-lagence";"Jean-Baptiste Djebbari annonce les 15 premiers projets lauréats du programme Propulse de l’Agence de l’innovation pour les transports";"2021-12-17";"doc40";"Barbara Pompili"
"https://www.ecologie.gouv.fr//declaration-conjointe-emise-etats-unis-et-france-suite-premiere-reunion-du-partenariat-bilateral";"Déclaration conjointe émise par les Etats-Unis et la France à la suite de la première réunion du partenariat bilatéral Etats-Unis-France sur l'énergie propre";"2021-12-17";"doc41";"Barbara Pompili"
"https://www.ecologie.gouv.fr//laudit-energetique-reglementaire-logements-proposes-vente-entrera-en-vigueur-1er-septembre-2022";"L’audit énergétique règlementaire pour les logements proposes à la vente entrera en vigueur le 1er septembre 2022";"2021-12-17";"doc42";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-en-grece-vendredi-17-decembre-2021";"Déplacement de Jean-Baptiste Djebbari en Grèce le vendredi 17 décembre 2021";"2021-12-16";"doc43";"Barbara Pompili"
"https://www.ecologie.gouv.fr//publicite-responsable-reunion-des-acteurs-filiere";"Publicité responsable : réunion des acteurs de la filière";"2021-12-16";"doc44";"Barbara Pompili"
"https://www.ecologie.gouv.fr//jean-baptiste-djebbari-lance-lobservatoire-national-du-covoiturage-quotidien";"Jean-Baptiste Djebbari lance l'Observatoire national du covoiturage quotidien";"2021-12-15";"doc45";"Barbara Pompili"
"https://www.ecologie.gouv.fr//bison-fute-previsions-nationales-circulation-du-vendredi-17-au-dimanche19-decembre-2021";"Bison futé - Prévisions nationales de circulation du vendredi 17 au dimanche19 décembre 2021";"2021-12-15";"doc46";"Barbara Pompili"
"https://www.ecologie.gouv.fr//barbara-pompili-et-berangere-abba-annoncent-france-accueillera-74e-comite-permanent-cites-lyon-du-7";"Barbara Pompili et Bérangère Abba annoncent que la France accueillera le 74e Comité permanent CITES à Lyon, du 7 au 11 mars 2022";"2021-12-15";"doc47";"Barbara Pompili"
"https://www.ecologie.gouv.fr//investir-dans-france-2030-lancement-lappel-projets-soutien-linnovation-dans-systemes-energetiques-et";"Investir dans la France de 2030 : lancement de l’appel à projets « Soutien à l’innovation dans les systèmes énergétiques et le traitement de l’air du bâtiment »";"2021-12-14";"doc48";"Barbara Pompili"
"https://www.ecologie.gouv.fr//brief-presse-telephonique-en-amont-reunion-des-acteurs-publicite-au-ministere-transition-ecologique";"Brief presse téléphonique en amont de la réunion des acteurs de la publicité au ministère de la Transition écologique - mercredi 15 décembre à 18h";"2021-12-14";"doc49";"Barbara Pompili"
"https://www.ecologie.gouv.fr//barbara-pompili-remettra-prix-du-concours-amiter-mieux-amenager-territoires-en-mutation-exposes-aux";"Barbara Pompili remettra les prix du concours ""AMITER - Mieux aménager les territoires en mutation exposés aux risques naturels"" mardi 14 décembre 2021";"2021-12-13";"doc50";"Barbara Pompili"
"https://www.ecologie.gouv.fr//discours-jean-baptiste-djebbari-sur-lancement-des-trains-nuit-paris-tarbes-lourdes-et-paris-briancon";"Discours de Jean-Baptiste Djebbari sur le lancement des trains de nuit Paris-Tarbes-Lourdes et Paris-Briançon";"2021-12-13";"doc51";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deces-dun-agent-direction-interdepartementale-des-routes-centre-ouest-dans-dramatique-accident";"Décès d’un agent de la direction interdépartementale des routes Centre-Ouest dans un dramatique accident survenu sur l’A20 en Corrèze";"2021-12-13";"doc52";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-berangere-abba-en-haute-marne-52-lundi-13-decembre-2021";"Déplacement de Bérangère Abba en Haute-Marne (52) lundi 13 décembre 2021";"2021-12-13";"doc53";"Barbara Pompili"
"https://www.ecologie.gouv.fr//debut-des-envois-des-cheques-energie-exceptionnels-100-euros";"Début des envois des chèques énergie exceptionnels de 100 euros";"2021-12-13";"doc54";"Barbara Pompili"
"https://www.ecologie.gouv.fr//trains-nuit-deplacement-jean-baptiste-djebbari-en-autriche-lundi-13-decembre-2021";"Trains de nuit : déplacement de Jean-Baptiste Djebbari en Autriche lundi 13 décembre 2021";"2021-12-13";"doc55";"Barbara Pompili"
"https://www.ecologie.gouv.fr//publication-trajectoire-verdissement-du-secteur-du-transport-public-particulier-personnes-vtc-et";"Publication de la trajectoire pour le verdissement du secteur du transport public particulier de personnes (VTC et taxis)";"2021-12-10";"doc56";"Barbara Pompili"
"https://www.ecologie.gouv.fr//investissements-davenir-barbara-pompili-et-agnes-pannier-runacher-annoncent-420-millions-deuros";"Investissements d’avenir : Barbara Pompili et Agnès Pannier-Runacher annoncent 420 millions d’euros pour accélerer le développement des biotechnologies industrielles et la fabrication de produits biosourcés en France";"2021-12-10";"doc57";"Barbara Pompili"
"https://www.ecologie.gouv.fr//dossier-presse-strategie-dacceleration-produits-biosources-et-biotechnologies-industrielles";"Dossier de presse - Stratégie d'accélération "" Produits biosourcés et biotechnologies industrielles – Carburants durables """;"2021-12-10";"doc58";"Barbara Pompili"
"https://www.ecologie.gouv.fr//episode-neigeux-jean-baptiste-djebbari-renouvelle-consignes-prudence";"Episode neigeux : Jean-Baptiste Djebbari renouvelle ses consignes de prudence";"2021-12-10";"doc59";"Barbara Pompili"
"https://www.ecologie.gouv.fr//trains-nuit-deplacement-jean-baptiste-djebbari-en-gare-paris-austerlitz-75-dimanche-12-decembre";"Trains de nuit : déplacement de Jean-Baptiste Djebbari en gare de Paris Austerlitz (75) le dimanche 12 décembre à 19h30";"2021-12-10";"doc60";"Barbara Pompili"
"https://www.ecologie.gouv.fr//lutte-contre-gaspillage-barbara-pompili-rappelle-aux-cotes-dons-solidaires-linterdiction-destruction";"Lutte contre le gaspillage : Barbara Pompili rappelle aux côtés de Dons Solidaires l'interdiction de destruction des invendus non alimentaires au 1er janvier 2022";"2021-12-10";"doc61";"Barbara Pompili"
"https://www.ecologie.gouv.fr//ouverture-du-site-internet-des-reseaux-sociaux-et-plateforme-daccreditation-presidence-francaise-du";"Ouverture du site internet, des réseaux sociaux et de la plateforme d’accréditation de la présidence française du Conseil de l’Union européenne";"2021-12-09";"doc62";"Barbara Pompili"
"https://www.ecologie.gouv.fr//france-et-belgique-sengagent-dans-relance-deux-lignes-trains-transfrontalieres";"La France et la Belgique s’engagent dans la relance de deux lignes de trains transfrontalières";"2021-12-09";"doc63";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-berangere-abba-dans-jura-vendredi-10-decembre-2021";"Déplacement de Bérangère Abba, dans le Jura, le vendredi 10 décembre 2021";"2021-12-09";"doc64";"Barbara Pompili"
"https://www.ecologie.gouv.fr//emmanuelle-wargon-se-rendra-dans-gers-vendredi-10-decembre";"Emmanuelle Wargon se rendra dans le Gers le vendredi 10 décembre";"2021-12-09";"doc65";"Barbara Pompili"
"https://www.ecologie.gouv.fr//hackathon-du-varenne-agricole-leau-et-ladaptation-au-changement-climatique-trois-equipes";"Hackathon du Varenne agricole de l’eau et de l’adaptation au changement climatique : trois équipes récompensées pour leur projet innovant au service du monde agricole !";"2021-12-09";"doc66";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-bruxelles-jeudi-9-decembre";"Déplacement de Jean-Baptiste Djebbari à Bruxelles le jeudi 9 décembre";"2021-12-08";"doc67";"Barbara Pompili"
"https://www.ecologie.gouv.fr//brief-presse-telephonique-en-amont-du-deplacement-barbara-pompili-dans-cadre-lutte-contre-gaspillage";"Brief presse téléphonique en amont du déplacement de Barbara Pompili dans le cadre de la lutte contre le gaspillage et à l'occasion des fêtes de fin d'année - jeudi 9 décembre à 16h";"2021-12-08";"doc68";"Barbara Pompili"
"https://www.ecologie.gouv.fr//lapproche-noel-barbara-pompili-rencontrera-des-acteurs-lutte-contre-gaspillage-dans-lessonne-91-et";"À l’approche de Noël, Barbara Pompili rencontrera des acteurs de la lutte contre le gaspillage dans l’Essonne (91) et les Yvelines (78) le vendredi 10 décembre";"2021-12-08";"doc69";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-au-canada-lundi-6-decembre-et-mardi-7-decembre-2021";"Déplacement de Jean-Baptiste Djebbari au Canada, le lundi 6 décembre et mardi 7 décembre 2021";"2021-12-08";"doc70";"Barbara Pompili"
"https://www.ecologie.gouv.fr//premier-congres-du-space-climate-observatory-france-bilan-tres-positif-et-engageant";"Premier Congrès du Space Climate Observatory France : un bilan très positif et engageant";"2021-12-07";"doc71";"Barbara Pompili"
"https://www.ecologie.gouv.fr//fourniture-denergie-ministere-designe-des-fournisseurs-secours-en-electricite-assurer-titre";"Fourniture d’énergie : le ministère a désigné des fournisseurs de secours en électricité pour assurer à titre transitoire la continuité d’approvisionnement des consommateurs en cas de défaillance d’un fournisseur";"2021-12-06";"doc72";"Barbara Pompili"
"https://www.ecologie.gouv.fr//20-ans-dinventaire-et-surveillance-des-sols-resultats-et-enjeux-des-travaux-du-gis-sol";"20 ans d’inventaire et de surveillance des sols : résultats et enjeux des travaux du GIS Sol";"2021-12-06";"doc73";"Barbara Pompili"
"https://www.ecologie.gouv.fr//intervention-barbara-pompili-lors-convention-des-entreprises-climat-nantes-3-decembre-2021";"Intervention de Barbara Pompili lors de la Convention des entreprises pour le climat à Nantes le 3 décembre 2021";"2021-12-06";"doc74";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-julien-denormandie-et-berangere-abba-dans-haute-marne-52-lundi-06-decembre-2021";"Déplacement de Julien Denormandie et Bérangère Abba dans la Haute-Marne (52) le lundi 06 décembre 2021";"2021-12-06";"doc75";"Barbara Pompili"
"https://www.ecologie.gouv.fr//barbara-pompili-annonce-louverture-mission-transition-ecologique-site-internet-regroupant-aides";"Barbara Pompili annonce l'ouverture de ""Mission Transition Ecologique"", site internet regroupant les aides à la transition écologique des entreprises";"2021-12-03";"doc76";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deploiement-des-energies-renouvelables-elargissement-zone-proposee-au-debat-public-sur-projet";"Déploiement des énergies renouvelables : Élargissement de la zone proposée au débat public sur le projet d’éoliennes en mer au large de l’Ile d’Oléron";"2021-12-03";"doc77";"Barbara Pompili"
"https://www.ecologie.gouv.fr//discours-berangere-abba-lors-louverture-du-comite-suivi-sndi-29-novembre-2021";"Discours de Bérangère Abba lors de l'ouverture du comité de suivi SNDI le 29 novembre 2021";"2021-12-03";"doc78";"Barbara Pompili"
"https://www.ecologie.gouv.fr//berangere-abba-presente-nouveaux-outils-mise-en-oeuvre-strategie-nationale-lutte-contre";"Bérangère Abba présente de nouveaux outils de mise en œuvre de la Stratégie nationale de lutte contre la déforestation importée";"2021-12-03";"doc79";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacemennt-berangere-abba-dans-marne-vendredi-3-decembre-2021";"Déplacemennt de Bérangère Abba dans la Marne le vendredi 3 décembre 2021";"2021-12-02";"doc80";"Barbara Pompili"
"https://www.ecologie.gouv.fr//barbara-pompili-annoncera-strategie-decarbonation-des-filieres-economiques-francaises-vendredi-3";"Barbara Pompili annoncera la Stratégie de décarbonation des filières économiques françaises le vendredi 3 décembre en Loire-Atlantique (44)";"2021-12-02";"doc81";"Barbara Pompili"
"https://www.ecologie.gouv.fr//emmanuelle-wargon-se-rendra-en-indre-et-loire-37-vendredi-3-decembre-2021";"Emmanuelle Wargon se rendra en Indre-et-Loire (37) vendredi 3 décembre 2021";"2021-12-02";"doc82";"Barbara Pompili"
"https://www.ecologie.gouv.fr//diagnostic-performance-energetique-nouveau-operationnel-1er-novembre-2021-apres-correction-des";"Le diagnostic de performance énergétique de nouveau opérationnel depuis le 1er novembre 2021 après la correction des anomalies";"2021-12-02";"doc83";"Barbara Pompili"
"https://www.ecologie.gouv.fr//premier-congres-du-space-climate-observatory-france-mardi-7-decembre";"Premier Congrès du Space Climate Observatory France le mardi 7 décembre";"2021-12-02";"doc84";"Barbara Pompili"
"https://www.ecologie.gouv.fr//hackathon-du-varenne-agricole-leau-et-ladaptation-au-changement-climatique-3-jours-developper";"Hackathon du Varenne agricole de l’eau et de l’adaptation au changement climatique : 3 jours pour développer de nouveaux outils";"2021-12-01";"doc85";"Barbara Pompili"
"https://www.ecologie.gouv.fr//gouvernement-salue-publication-du-rapport-laie-france-2021-examen-politique-energetique";"Le Gouvernement salue la publication du rapport de l’AIE « France 2021 – examen de la politique énergétique »";"2021-12-01";"doc86";"Barbara Pompili"
"https://www.ecologie.gouv.fr//conference-presse-revue-aie-2021-reponse-barbara-pompili-fatih-birol";"Conférence de presse Revue AIE 2021 - Réponse de Barbara Pompili à Fatih Birol";"2021-11-30";"doc87";"Barbara Pompili"
"https://www.ecologie.gouv.fr//conference-presse-revue-aie-2021-intervention-barbara-pompili";"Conférence de presse Revue AIE 2021 - Intervention de Barbara Pompili";"2021-11-30";"doc88";"Barbara Pompili"
"https://www.ecologie.gouv.fr//protection-des-milieux-marins-berangere-abba-mobilise-comite-france-ocean-en-amont-du-comite";"Protection des milieux marins : Bérangère Abba mobilise le Comité France Océan en amont du Comité Interministériel de la mer et du One Ocean Summit";"2021-11-30";"doc89";"Barbara Pompili"
"https://www.ecologie.gouv.fr//rencontre-jean-baptiste-djebbari-et-adina-valean";"Rencontre de Jean-Baptiste Djebbari et Adina Vălean";"2021-11-30";"doc90";"Barbara Pompili"
"https://www.ecologie.gouv.fr//bilan-des-accidents-et-incidents-chasse-2020-2021";"Le bilan des accidents et incidents de chasse 2020-2021";"2021-11-30";"doc91";"Barbara Pompili"
"https://www.ecologie.gouv.fr//jean-baptiste-djebbari-inaugurera-station-metro-gaite-josephine-baker-paris-14eme-mardi-30-novembre";"Jean-Baptiste Djebbari, inaugurera la station de métro Gaité - Joséphine Baker (Paris 14ème), mardi 30 novembre 2021 à 10h";"2021-11-29";"doc92";"Barbara Pompili"
"https://www.ecologie.gouv.fr//investissements-davenir-annonce-des-laureats-premiere-vague-lappel-projets-industrialisation";"Investissements d’avenir : annonce des lauréats de la première vague de l'appel à projets « industrialisation de produits et systèmes constructifs bois et autres biosourcés » et lancement de l’appel à projets « mixité pour la construction bas carbone ».";"2021-11-26";"doc93";"Barbara Pompili"
"https://www.ecologie.gouv.fr//bison-fute-premier-episode-neige-significatif-week-end-soyez-prudent-sur-routes";"Bison Futé - Premier épisode de neige significatif ce week-end, soyez prudent sur les routes";"2021-11-26";"doc94";"Barbara Pompili"
"https://www.ecologie.gouv.fr//cergy-pontoise-letat-sengage-lhebergement-et-laccompagnement-specialise-des-femmes-victimes";"À Cergy-Pontoise, l’État s’engage pour l’hébergement et l’accompagnement spécialisé des femmes victimes de violences";"2021-11-26";"doc95";"Barbara Pompili"
"https://www.ecologie.gouv.fr//emmanuelle-wargon-se-rendra-en-seine-maritime-76-vendredi-26-novembre";"Emmanuelle Wargon se rendra en Seine Maritime (76) vendredi 26 novembre";"2021-11-25";"doc96";"Barbara Pompili"
"https://www.ecologie.gouv.fr//discours-jean-baptiste-djebbari-inauguration-du-vertiport-pontoise";"Discours de Jean-Baptiste Djebbari - Inauguration du vertiport de Pontoise";"2021-11-25";"doc97";"Barbara Pompili"
"https://www.ecologie.gouv.fr//conference-presse-presentation-du-rapport-laie-politique-energetique-france-revue-en-profondeur-2021";"Conférence de presse - Présentation du rapport de l’AIE « La politique énergétique de la France – revue en profondeur de 2021 »";"2021-11-25";"doc98";"Barbara Pompili"
"https://www.ecologie.gouv.fr//jean-baptiste-djebbari-presente-mesures-alternatives-au-controle-technique-des-deux-roues-motorisees";"Jean-Baptiste Djebbari présente les mesures alternatives au contrôle technique des deux roues motorisées";"2021-11-24";"doc99";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-berangere-abba-grenoble-jeudi-25-novembre-2021";"Déplacement de Bérangère Abba à Grenoble, le jeudi 25 novembre 2021";"2021-11-24";"doc100";"Barbara Pompili"
"https://www.ecologie.gouv.fr//communique-presse-appel-candidatures-8e-edition-du-grand-prix-national-du-paysage";"Communiqué de presse - Appel à candidatures pour la 8e édition du Grand Prix national du paysage";"2021-11-24";"doc101";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-pontoise-95-jeudi-25-novembre-2021-15h00";"Déplacement de Jean-Baptiste Djebbari à Pontoise (95) le jeudi 25 novembre 2021 à 15h00";"2021-11-23";"doc102";"Barbara Pompili"
"https://www.ecologie.gouv.fr//berangere-abba-et-sebastien-lecornu-annoncent-mise-en-consultation-au-public-du-projet-decret";"Bérangère Abba et Sébastien Lecornu annoncent la mise en consultation au public du projet de décret d'extension de la réserve naturelle nationale des Terres australes françaises";"2021-11-23";"doc103";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deuxieme-comite-pilotage-lhabitat-inclusif-marque-mobilisation-forte-du-gouvernement-en-faveur";"Le deuxième Comité de Pilotage de l’Habitat inclusif marque la mobilisation forte du Gouvernement en faveur de l’autonomie des Français « chez soi » : l’Aide à la Vie Partagée déployée dans 30 Départements";"2021-11-23";"doc104";"Barbara Pompili"
