"";"lemma";"ministre";"spec";"n"
"100";"portable";"François de Rugy";12,8893;46
"101";"sentir";"Nicolas Hulot";12,8582;218
"102";"indiquer";"François de Rugy";12,7748;156
"103";"transition";"François de Rugy";12,7465;1067
"104";"électrique";"Barbara Pompili";12,6613;270
"105";"débordement";"Nicolas Hulot";12,6072;21
"106";"substance";"Nicolas Hulot";12,593;81
"107";"impayé";"Barbara Pompili";12,5028;29
"108";"habitant";"Élisabeth Borne";12,4476;105
"109";"samedi";"Nicolas Hulot";12,1225;163
"110";"aire";"Barbara Pompili";12,0999;122
"111";"communauté";"François de Rugy";12,065;147
"112";"ressource";"François de Rugy";12,0551;162
"113";"mail";"François de Rugy";12,0404;78
"114";"urbain";"Barbara Pompili";12,0401;230
"115";"raffinerie";"Élisabeth Borne";11,886;25
"116";"carte";"François de Rugy";11,8146;172
"117";"charbon";"François de Rugy";11,7533;73
"118";"atelier";"Nicolas Hulot";11,7028;66
"119";"territoire";"Élisabeth Borne";11,5033;732
"120";"indiquer";"Nicolas Hulot";11,3107;159
"121";"surface";"Barbara Pompili";11,223;79
"122";"orange";"Nicolas Hulot";11,1803;156
"123";"consigne";"Élisabeth Borne";11,1502;58
"124";"immobilier";"Barbara Pompili";11,0814;50
"125";"territoire";"François de Rugy";10,9924;726
"126";"aval";"Nicolas Hulot";10,9784;30
"127";"téléchargement";"Nicolas Hulot";10,8938;33
"128";"concessionnaire";"François de Rugy";10,8309;34
"129";"vol";"Élisabeth Borne";10,784;69
"130";"allocataire";"Barbara Pompili";10,7782;25
"131";"fatigue";"Nicolas Hulot";10,7406;22
"132";"enveloppe";"Barbara Pompili";10,721;57
"133";"suédois";"Nicolas Hulot";10,6765;25
"134";"financer";"Barbara Pompili";10,6019;151
"135";"adresse";"Barbara Pompili";10,56;32
"136";"mail";"Élisabeth Borne";10,5246;75
"137";"train";"Barbara Pompili";10,4218;197
"138";"crise";"Élisabeth Borne";10,3764;167
"139";"lieu";"François de Rugy";10,1839;307
"140";"départ";"Nicolas Hulot";10,1661;149
"141";"forêt";"Barbara Pompili";10,0826;217
"142";"temporaire";"Élisabeth Borne";10,0229;38
"143";"éviter";"Barbara Pompili";9,9282;312
"144";"gaspillage";"Élisabeth Borne";9,8752;79
"145";"déclarer";"Nicolas Hulot";9,7697;123
"146";"accréditer";"Barbara Pompili";9,7474;839
"147";"jetable";"Élisabeth Borne";9,718;27
"148";"violence";"Barbara Pompili";9,7016;43
"149";"bénéficier";"Barbara Pompili";9,6212;188
"150";"réserve";"Barbara Pompili";9,5571;116
"151";"mars";"Nicolas Hulot";9,5562;154
"152";"concret";"Élisabeth Borne";9,5029;167
"153";"habitat";"Barbara Pompili";9,4381;60
"154";"filière";"François de Rugy";9,416;314
"155";"statut";"Nicolas Hulot";9,3899;36
"156";"ouvrir";"Nicolas Hulot";9,2958;162
"157";"juin";"François de Rugy";9,2012;154
"158";"passoire";"Barbara Pompili";9,1142;60
"159";"écologique";"François de Rugy";9,105;978
"160";"ours";"François de Rugy";9,0896;25
"161";"uni";"François de Rugy";9,0605;55
"162";"loti";"Nicolas Hulot";8,9865;19
"163";"ouest";"Nicolas Hulot";8,9394;59
"164";"extension";"Barbara Pompili";8,8735;33
"165";"vigueur";"Barbara Pompili";8,838;107
"166";"ouvert";"Barbara Pompili";8,8103;88
"167";"accréditer";"François de Rugy";8,7401;497
"168";"programme";"François de Rugy";8,7307;266
"169";"prix";"Nicolas Hulot";8,6735;115
"170";"mesure";"Élisabeth Borne";8,6706;369
"171";"débat";"François de Rugy";8,5857;152
"172";"huile";"Nicolas Hulot";8,5663;16
"173";"connecter";"Nicolas Hulot";8,4656;49
"174";"chauffage";"Barbara Pompili";8,4605;95
"175";"téléphone";"Élisabeth Borne";8,4246;51
"176";"présenter";"Nicolas Hulot";8,3826;313
"177";"ligne";"Barbara Pompili";8,3811;335
"178";"continuité";"Élisabeth Borne";8,3515;62
"179";"juillet";"Nicolas Hulot";8,3472;221
"180";"pollution";"François de Rugy";8,2976;120
"181";"restructuration";"Barbara Pompili";8,2841;28
"182";"vente";"Barbara Pompili";8,2455;105
"183";"entrepôt";"Barbara Pompili";8,221;26
"184";"cliquer";"Barbara Pompili";8,2135;45
"185";"pub";"Barbara Pompili";8,1913;19
"186";"accident";"Élisabeth Borne";8,1475;45
"187";"protection";"Élisabeth Borne";8,1221;218
"188";"mobilité";"François de Rugy";8,0558;290
"189";"bouteille";"Élisabeth Borne";8,0456;34
"190";"reconnaître";"François de Rugy";8,0263;65
"191";"propre";"Nicolas Hulot";8,0027;108
"192";"guide";"Élisabeth Borne";7,9353;40
"193";"foncier";"Barbara Pompili";7,9266;60
"194";"compagnie";"Élisabeth Borne";7,9151;58
"195";"package";"Nicolas Hulot";7,9128;12
"196";"résident";"Barbara Pompili";7,9008;21
"197";"consultation";"Nicolas Hulot";7,8684;107
"198";"vitre";"Nicolas Hulot";7,8647;16
"199";"voyageur";"Nicolas Hulot";7,8116;72
"200";"métro";"Barbara Pompili";7,7994;30
"201";"économie";"Élisabeth Borne";7,7834;173
"202";"chantilly";"Barbara Pompili";7,7602;18
"203";"stock";"Élisabeth Borne";7,7298;21
"204";"chaufferie";"Élisabeth Borne";7,7294;17
"205";"ambition";"Élisabeth Borne";7,6944;123
"206";"secrétaire";"François de Rugy";7,6687;328
"207";"menu";"Barbara Pompili";7,6471;34
"208";"covoiturage";"Élisabeth Borne";7,6467;58
"209";"prévoir";"Barbara Pompili";7,6369;350
"210";"chèque";"Nicolas Hulot";7,6295;66
"211";"accompagnement";"Barbara Pompili";7,6127;73
"212";"structure";"Barbara Pompili";7,6053;71
"213";"drone";"Nicolas Hulot";7,6031;24
"214";"bébé";"François de Rugy";7,5753;11
"215";"centrale";"François de Rugy";7,5744;108
"216";"signer";"Élisabeth Borne";7,5397;136
"217";"cartouche";"Nicolas Hulot";7,5249;13
"218";"micro";"Barbara Pompili";7,5234;228
"219";"mobile";"Nicolas Hulot";7,5058;70
"220";"urbaniste";"Barbara Pompili";7,4893;20
"221";"international";"François de Rugy";7,4881;219
"222";"personnel";"Élisabeth Borne";7,473;45
"223";"rencontre";"Nicolas Hulot";7,4678;140
"224";"mondial";"François de Rugy";7,3693;170
"225";"concertation";"Nicolas Hulot";7,3619;154
"226";"planète";"Nicolas Hulot";7,3534;69
"227";"chauffeur";"Nicolas Hulot";7,3127;40
"228";"préparer";"Nicolas Hulot";7,2854;82
"229";"comité";"François de Rugy";7,2733;186
"230";"décret";"Barbara Pompili";7,2516;124
"231";"axe";"Nicolas Hulot";7,217;148
"232";"prêt";"Barbara Pompili";7,2154;77
"233";"dôme";"Élisabeth Borne";7,2091;20
"234";"météorologique";"Nicolas Hulot";7,193;64
"235";"amont";"Nicolas Hulot";7,184;53
"236";"journée";"Nicolas Hulot";7,1573;97
"237";"voter";"Barbara Pompili";7,1315;61
"238";"puy";"Élisabeth Borne";7,11;25
"239";"liaison";"Nicolas Hulot";7,07;64
"240";"solidarité";"Nicolas Hulot";7,0614;79
"241";"thème";"François de Rugy";7,0568;74
"242";"session";"François de Rugy";7,0498;45
"243";"i";"Barbara Pompili";6,9701;42
"244";"éolien";"Barbara Pompili";6,9593;142
"245";"polystyrène";"Barbara Pompili";6,9356;26
"246";"chimique";"François de Rugy";6,9352;46
"247";"lycée";"François de Rugy";6,9334;41
"248";"paquet";"Nicolas Hulot";6,9268;33
"249";"réunion";"François de Rugy";6,9241;203
"250";"électronique";"Barbara Pompili";6,9231;43
"251";"transport";"Nicolas Hulot";6,9148;692
"252";"passager";"Élisabeth Borne";6,9013;53
"253";"relogement";"Barbara Pompili";6,8979;16
"254";"vie";"Barbara Pompili";6,8975;244
"255";"hybride";"Barbara Pompili";6,8814;44
"256";"stratégie";"Barbara Pompili";6,8793;376
"257";"express";"Barbara Pompili";6,8121;46
"258";"femme";"Barbara Pompili";6,7933;101
"259";"assurer";"Élisabeth Borne";6,7915;142
"260";"fréquence";"Nicolas Hulot";6,7856;38
"261";"extérieur";"Barbara Pompili";6,7322;40
"262";"chine";"François de Rugy";6,6992;38
"263";"publicitaire";"Barbara Pompili";6,6692;18
"264";"fonds";"Barbara Pompili";6,644;170
"265";"étiquette";"Barbara Pompili";6,6366;20
"266";"mixité";"Barbara Pompili";6,6366;20
"267";"disponibilité";"Élisabeth Borne";6,6048;34
"268";"agilité";"François de Rugy";6,6016;15
"269";"somnolence";"Nicolas Hulot";6,594;10
"270";"troyen";"Nicolas Hulot";6,594;10
"271";"stratégique";"François de Rugy";6,5679;94
"272";"couche";"François de Rugy";6,5235;14
"273";"dédier";"Barbara Pompili";6,5221;173
"274";"reprise";"Élisabeth Borne";6,4868;57
"275";"intervenant";"Élisabeth Borne";6,4698;23
"276";"perturbation";"Nicolas Hulot";6,4687;29
"277";"neuf";"Barbara Pompili";6,4271;52
"278";"radio";"Nicolas Hulot";6,4241;39
"279";"concitoyen";"Élisabeth Borne";6,3881;84
"280";"habiter";"Barbara Pompili";6,3858;34
"281";"prévention";"Élisabeth Borne";6,3787;88
"282";"importé";"Barbara Pompili";6,3276;42
"283";"biodiversité";"François de Rugy";6,3132;327
"284";"cyclable";"Barbara Pompili";6,2836;68
"285";"dialogue";"François de Rugy";6,2287;91
"286";"ponctualité";"Élisabeth Borne";6,1846;9
"287";"déshydratation";"Nicolas Hulot";6,1498;12
"288";"ile";"Nicolas Hulot";6,1498;12
"289";"convention";"Barbara Pompili";6,1425;202
"290";"état";"Nicolas Hulot";6,1203;93
"291";"trophée";"Nicolas Hulot";6,1045;18
"292";"marchandise";"Élisabeth Borne";6,1;60
"293";"territorial";"Élisabeth Borne";6,095;172
"294";"borne";"François de Rugy";6,0765;240
"295";"pluvial";"Barbara Pompili";6,0689;22
"296";"africain";"François de Rugy";6,0584;19
"297";"salarié";"Élisabeth Borne";6,0528;93
"298";"lycéen";"François de Rugy";6,0499;17
"299";"carte";"Nicolas Hulot";6,0201;158
"300";"cantine";"Barbara Pompili";6,0181;29
"301";"solution";"François de Rugy";6,0102;267
"302";"fret";"Nicolas Hulot";6,0052;75
"303";"rural";"François de Rugy";5,9806;53
"304";"confinement";"Élisabeth Borne";5,9587;49
"305";"climatique";"François de Rugy";5,9518;318
"306";"supplémentaire";"Barbara Pompili";5,9489;98
"307";"réhabilitation";"Barbara Pompili";5,9438;48
"308";"signature";"Élisabeth Borne";5,9412;102
"309";"précaution";"Élisabeth Borne";5,9186;20
"310";"sécheresse";"Élisabeth Borne";5,886;33
"311";"tendu";"François de Rugy";5,8742;30
"312";"signalisation";"Nicolas Hulot";5,8595;28
"313";"civilisation";"Barbara Pompili";5,8537;16
"314";"période";"Élisabeth Borne";5,852;190
"315";"sauvetage";"Élisabeth Borne";5,8408;27
"316";"rapide";"Barbara Pompili";5,8038;87
"317";"soutenir";"Barbara Pompili";5,8003;335
"318";"maritime";"Élisabeth Borne";5,7933;158
"319";"mutation";"Élisabeth Borne";5,7458;34
"320";"contexte";"Barbara Pompili";5,7373;158
"321";"avril";"Nicolas Hulot";5,729;123
"322";"maison";"Barbara Pompili";5,7265;84
"323";"forum";"Nicolas Hulot";5,7041;43
"324";"discours";"François de Rugy";5,6774;74
"325";"marée";"Nicolas Hulot";5,649;10
"326";"pollen";"Nicolas Hulot";5,649;10
"327";"commerce";"Barbara Pompili";5,6255;80
"328";"permettre";"Barbara Pompili";5,6203;1193
"329";"squat";"Barbara Pompili";5,6045;13
"330";"vacant";"Barbara Pompili";5,6045;13
"331";"pluie";"Nicolas Hulot";5,59;36
"332";"hydrocarbure";"Nicolas Hulot";5,5899;19
"333";"propager";"Nicolas Hulot";5,5898;13
"334";"commission";"Nicolas Hulot";5,5793;172
"335";"guillaume";"François de Rugy";5,5691;40
"336";"fermeture";"Élisabeth Borne";5,5591;33
"337";"inonder";"Nicolas Hulot";5,5486;12
"338";"scoop";"Nicolas Hulot";5,5486;12
"339";"réemploi";"Élisabeth Borne";5,5398;43
"340";"branche";"Nicolas Hulot";5,5161;26
"341";"déplacement";"Élisabeth Borne";5,5103;209
"342";"oléoduc";"Élisabeth Borne";5,4974;8
"343";"subvention";"Barbara Pompili";5,4917;54
"344";"propagation";"Élisabeth Borne";5,4547;25
"345";"chaudière";"François de Rugy";5,4367;40
"346";"chimie";"Barbara Pompili";5,4356;32
"347";"nation";"François de Rugy";5,4183;61
"348";"marin";"François de Rugy";5,3965;68
"349";"expédition";"Élisabeth Borne";5,3579;15
"350";"onde";"Nicolas Hulot";5,3556;15
"351";"pacte";"Élisabeth Borne";5,3463;80
"352";"agriculteur";"Élisabeth Borne";5,3349;52
"353";"révolution";"Nicolas Hulot";5,3153;38
"354";"bout";"Barbara Pompili";5,259;24
"355";"président";"Nicolas Hulot";5,2582;358
"356";"coup";"Barbara Pompili";5,2404;71
"357";"restauration";"Barbara Pompili";5,2404;71
"358";"promouvoir";"François de Rugy";5,2181;51
"359";"présentation";"François de Rugy";5,2031;184
"360";"cantal";"Élisabeth Borne";5,2;14
"361";"dugong";"Barbara Pompili";5,1734;12
"362";"migrant";"Barbara Pompili";5,1734;12
"363";"coopératif";"Nicolas Hulot";5,1388;16
"364";"lent";"Nicolas Hulot";5,1388;16
"365";"travail";"François de Rugy";5,1338;499
"366";"jeune";"Barbara Pompili";5,1313;94
"367";"énergie";"Nicolas Hulot";5,1069;255
"368";"hydrogène";"Barbara Pompili";5,101;78
"369";"jacques";"Nicolas Hulot";5,0998;34
"370";"passage";"François de Rugy";5,0942;54
"371";"proposition";"Nicolas Hulot";5,0815;156
"372";"météo";"Nicolas Hulot";5,0785;44
"373";"limiter";"Élisabeth Borne";5,0766;73
"374";"matériau";"Barbara Pompili";5,0754;71
"375";"french";"Nicolas Hulot";5,0724;53
"376";"rédaction";"Élisabeth Borne";5,0662;25
"377";"cahier";"Barbara Pompili";5,048;52
"378";"exercer";"Nicolas Hulot";5,0477;22
"379";"restreint";"Nicolas Hulot";5,0442;12
"380";"palmarès";"Barbara Pompili";5,0439;14
"381";"stater";"Barbara Pompili";5,0439;14
"382";"confluence";"Nicolas Hulot";5,0299;9
"383";"imposable";"Nicolas Hulot";5,0299;9
"384";"allemand";"Nicolas Hulot";5,0236;49
"385";"olivier";"Barbara Pompili";5,0116;36
"386";"marne";"Nicolas Hulot";5,0097;63
"387";"citer";"François de Rugy";4,9994;29
"388";"brique";"Barbara Pompili";4,9959;19
"389";"titane";"Nicolas Hulot";4,9838;11
"390";"renseignement";"Nicolas Hulot";4,9671;10
"391";"rentable";"Nicolas Hulot";4,9671;10
"392";"reconversion";"Élisabeth Borne";4,9525;36
"393";"chasse";"François de Rugy";4,9517;32
"394";"incident";"Nicolas Hulot";4,9412;20
"395";"recul";"Élisabeth Borne";4,9103;20
"396";"domicile";"Barbara Pompili";4,8948;76
"397";"consommateur";"Barbara Pompili";4,8714;137
"398";"carbone";"Élisabeth Borne";4,871;180
"399";"traverser";"Élisabeth Borne";4,8702;67
"400";"dioxyde";"Nicolas Hulot";4,8612;18
"401";"biologique";"François de Rugy";4,8571;36
"402";"clause";"Barbara Pompili";4,8393;20
"403";"habitude";"Barbara Pompili";4,8326;31
"404";"satisfaire";"Nicolas Hulot";4,8231;16
"405";"cordouan";"François de Rugy";4,8206;7
"406";"sucre";"François de Rugy";4,8206;7
"407";"riz";"Élisabeth Borne";4,8102;7
"408";"soignant";"Élisabeth Borne";4,8102;7
"409";"appel";"Barbara Pompili";4,8032;264
"410";"collision";"François de Rugy";4,8004;11
"411";"solaire";"Nicolas Hulot";4,7889;78
"412";"attente";"Élisabeth Borne";4,7867;86
"413";"compatriote";"Élisabeth Borne";4,7854;11
"414";"septembre";"Barbara Pompili";4,7678;234
"415";"éligible";"Barbara Pompili";4,7403;43
"416";"circulaire";"Nicolas Hulot";4,7091;163
"417";"confinement";"Barbara Pompili";4,7047;69
"418";"varenne";"Barbara Pompili";4,7035;15
"419";"trésorerie";"Élisabeth Borne";4,6849;13
"420";"château";"Élisabeth Borne";4,6786;21
"421";"continuer";"Élisabeth Borne";4,6718;104
"422";"consulter";"Nicolas Hulot";4,6688;67
"423";"responsable";"Barbara Pompili";4,6649;114
"424";"magasin";"Barbara Pompili";4,6617;27
"425";"minier";"Barbara Pompili";4,6617;27
"426";"repas";"Barbara Pompili";4,6617;27
"427";"moitié";"Nicolas Hulot";4,6493;42
"428";"trêve";"Barbara Pompili";4,645;18
"429";"échouage";"François de Rugy";4,6343;9
"430";"citerne";"Élisabeth Borne";4,6307;8
"431";"toxicité";"Élisabeth Borne";4,6216;9
"432";"machaon";"Nicolas Hulot";4,6157;7
"433";"orage";"Nicolas Hulot";4,6157;7
"434";"dérèglement";"Élisabeth Borne";4,5983;48
"435";"août";"Nicolas Hulot";4,5978;124
"436";"population";"Élisabeth Borne";4,5916;86
"437";"collecte";"Élisabeth Borne";4,5687;58
"438";"pause";"Nicolas Hulot";4,5567;26
"439";"volet";"Barbara Pompili";4,5506;69
"440";"déchet";"Élisabeth Borne";4,546;197
"441";"émetteur";"Barbara Pompili";4,5368;31
"442";"boîte";"Barbara Pompili";4,5361;23
"443";"york";"Nicolas Hulot";4,5316;19
"444";"changement";"François de Rugy";4,5231;189
"445";"virus";"Élisabeth Borne";4,5213;18
"446";"rédacteur";"Barbara Pompili";4,5194;32
"447";"connaître";"Élisabeth Borne";4,5087;108
"448";"inégalité";"François de Rugy";4,5062;20
"449";"dater";"Barbara Pompili";4,5061;33
"450";"développement";"François de Rugy";4,5055;428
"451";"tour";"Nicolas Hulot";4,5028;94
"452";"rail";"Barbara Pompili";4,4897;39
"453";"net";"Barbara Pompili";4,4864;36
"454";"direction";"Nicolas Hulot";4,4854;113
"455";"négociation";"Nicolas Hulot";4,474;61
"456";"mont";"Barbara Pompili";4,4721;60
"457";"sentier";"Barbara Pompili";4,4709;24
"458";"cacao";"Barbara Pompili";4,4691;16
"459";"protocole";"Barbara Pompili";4,464;52
"460";"engager";"Élisabeth Borne";4,459;260
"461";"austral";"François de Rugy";4,4549;15
"462";"contrôle";"Élisabeth Borne";4,4527;90
"463";"réalisation";"François de Rugy";4,4497;75
"464";"dumping";"Nicolas Hulot";4,4263;10
"465";"océan";"Élisabeth Borne";4,4242;57
"466";"publier";"Barbara Pompili";4,4188;135
"467";"artisan";"Barbara Pompili";4,4177;25
"468";"numéro";"Nicolas Hulot";4,4093;121
"469";"élu";"Nicolas Hulot";4,3855;140
"470";"verglas";"François de Rugy";4,3849;11
"471";"rétroviseur";"Nicolas Hulot";4,3847;9
"472";"projet";"Barbara Pompili";4,3802;1563
"473";"gendarmerie";"Nicolas Hulot";4,3696;15
"474";"intempérie";"Élisabeth Borne";4,3568;13
"475";"suspension";"Élisabeth Borne";4,3568;13
"476";"problématique";"Élisabeth Borne";4,3357;40
"477";"désirable";"Barbara Pompili";4,3246;14
"478";"terminal";"Barbara Pompili";4,3115;28
"479";"domanial";"Barbara Pompili";4,3112;10
"480";"pollinisation";"Barbara Pompili";4,3112;10
"481";"proche";"Nicolas Hulot";4,3103;31
"482";"automobile";"Barbara Pompili";4,3088;60
"483";"ouverture";"Nicolas Hulot";4,3063;39
"484";"verre";"Élisabeth Borne";4,3059;22
"485";"concours";"Barbara Pompili";4,2882;65
"486";"ville";"Barbara Pompili";4,2874;266
"487";"dépôt";"Élisabeth Borne";4,2807;56
"488";"jacqueline";"Barbara Pompili";4,2722;30
"489";"véhicule";"Nicolas Hulot";4,2699;242
"490";"convenir";"Nicolas Hulot";4,2698;38
"491";"confirmé";"François de Rugy";4,2649;14
"492";"succès";"Barbara Pompili";4,2421;86
"493";"étang";"Barbara Pompili";4,2413;12
"494";"cap";"Élisabeth Borne";4,2303;40
"495";"demander";"Barbara Pompili";4,228;286
"496";"terre";"François de Rugy";4,2269;80
"497";"photovoltaïque";"Élisabeth Borne";4,2223;48
"498";"total";"Barbara Pompili";4,2048;151
"499";"carte";"Élisabeth Borne";4,194;141
"500";"professionnalisme";"Élisabeth Borne";4,1801;12
"501";"terre";"Élisabeth Borne";4,1745;80
"502";"retransmettre";"Barbara Pompili";4,1685;18
"503";"comprendre";"Élisabeth Borne";4,1665;114
"504";"vision";"Nicolas Hulot";4,1622;46
"505";"action";"François de Rugy";4,1532;245
"506";"associer";"François de Rugy";4,145;57
"507";"bagasse";"François de Rugy";4,132;6
"508";"chinois";"François de Rugy";4,132;6
"509";"femelle";"François de Rugy";4,132;6
"510";"châtaigneraie";"Élisabeth Borne";4,123;6
"511";"mécanicien";"Élisabeth Borne";4,123;6
"512";"supercalculateur";"Élisabeth Borne";4,123;6
"513";"loup";"François de Rugy";4,1124;18
"514";"gouvernance";"François de Rugy";4,1094;47
"515";"deal";"Élisabeth Borne";4,104;17
"516";"conseil";"Nicolas Hulot";4,1002;274
"517";"soleil";"Nicolas Hulot";4,0945;15
"518";"résidentiel";"Barbara Pompili";4,0918;25
"519";"soin";"Barbara Pompili";4,0918;25
"520";"pompe";"Élisabeth Borne";4,0908;19
"521";"italien";"Barbara Pompili";4,0888;42
"522";"installation";"Nicolas Hulot";4,0887;74
"523";"ministériel";"François de Rugy";4,0874;33
"524";"rénover";"Barbara Pompili";4,0735;41
"525";"architecte";"Barbara Pompili";4,0687;19
"526";"affaire";"Nicolas Hulot";4,0624;54
"527";"groupe";"Nicolas Hulot";4,0523;162
"528";"chimique";"Nicolas Hulot";4,0519;41
"529";"élève";"François de Rugy";4,0496;30
"530";"réaction";"Nicolas Hulot";4,0495;13
"531";"régulation";"François de Rugy";4,0477;46
"532";"livraison";"Barbara Pompili";4,046;39
"533";"particule";"Barbara Pompili";4,046;39
"534";"contact";"Élisabeth Borne";4,0453;68
"535";"connexion";"Barbara Pompili";4,0409;27
"536";"acheminement";"Élisabeth Borne";4,0191;8
"537";"convier";"Nicolas Hulot";4,0137;16
"538";"pneu";"Nicolas Hulot";4,0137;16
"539";"alternatif";"Barbara Pompili";4,0119;29
"540";"produit";"Élisabeth Borne";3,9997;189
"541";"commander";"Barbara Pompili";3,9983;33
"542";"immédiat";"Élisabeth Borne";3,998;23
"543";"audioconférence";"Élisabeth Borne";3,9932;7
"544";"gap";"Élisabeth Borne";3,9932;7
"545";"tourtereau";"Élisabeth Borne";3,9932;7
"546";"vendômois";"Élisabeth Borne";3,9932;7
"547";"réglementer";"François de Rugy";3,9906;26
"548";"engagement";"François de Rugy";3,9776;175
"549";"lien";"Élisabeth Borne";3,969;103
"550";"poursuivre";"Élisabeth Borne";3,9575;138
"551";"affluent";"Nicolas Hulot";3,9563;6
"552";"dos";"Nicolas Hulot";3,9563;6
"553";"notice";"Nicolas Hulot";3,9563;6
"554";"pictogramme";"Nicolas Hulot";3,9563;6
"555";"souhaiter";"Élisabeth Borne";3,9529;161
"556";"abri";"Barbara Pompili";3,9491;13
"557";"baromètre";"Barbara Pompili";3,9491;13
